wt-circle src,shop2-review-attribution,shop2-review-attribution 2,shop2-review-attribution href,screen-reader-only,prose,wt-display-block href,listing-image src,wt-display-table-cell
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Oct 4, 2022",Julie,https://www.etsy.com/people/0rn7igwq22q03fwd?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1294430646/salvatore-brothers-shirt-stefan?ref=shop_review,https://i.etsystatic.com/4177368758/r/il/4c1843/4177368758/il_170x135.4177368758_qv7o.jpg,"Salvatore Brother's Shirt, Stefan Salvatore Shirt , Damon Salvatore Shirt, Paul Wesley Shirt, The Vampie Diaries Shirt, Gift For Fan"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"Inactive account on Oct 3, 2022",,,5 out of 5 stars,,https://www.etsy.com/listing/1188411882/jack-harlow-homage-shirt-rapper-hip-hop?ref=shop_review,https://i.etsystatic.com/3759506492/r/il/23805c/3759506492/il_170x135.3759506492_el0p.jpg,"Jack Harlow Homage Shirt, Rapper Hip Hop Style 90s Shirt, Industry Baby Shirt, Jack Harlow Gift For Him Her Tees, Jack Harlow Tshirt"
https://i.etsystatic.com/iusa/d4d243/90519505/iusa_75x75.90519505_7u2i.jpg?version=0,"on Oct 2, 2022",Kassidy,https://www.etsy.com/people/krol99?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1207980837/adam-sandler-retro-sweatshirt-adam?ref=shop_review,https://i.etsystatic.com/3780663864/r/il/13f7f5/3780663864/il_170x135.3780663864_3vt5.jpg,"Adam Sandler Retro Sweatshirt, Adam Sandler Homage Sweatshirt, Adam Sandler Sweatshirt, Adam Sandler Unisex Sweatshirt, Adam Sandler Unisex"
https://i.etsystatic.com/iusa/210a62/44594837/iusa_75x75.44594837_tmvz.jpg?version=0,"on Oct 1, 2022",Etsy buyer,https://www.etsy.com/people/juliacthorne2?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1215224561/khalid-homage-shirt-khalid-style-90s?ref=shop_review,https://i.etsystatic.com/3808182810/r/il/2e3e63/3808182810/il_170x135.3808182810_g0p3.jpg,"Khalid Homage Shirt, Khalid Style 90s Shirt, Khalid Shirt, Khalid Gift For Fan, Khalid Tshirt, Khalid Location Shirt, Khalid Tour Merch"
https://i.etsystatic.com/iusa/bee302/28095653/iusa_75x75.28095653_oprg.jpg?version=0,"on Oct 1, 2022",Skylar,https://www.etsy.com/people/skylarvick?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318635/r/il/845fc0/3824318635/il_170x135.3824318635_r8u5.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/iusa/9921bc/35549063/iusa_75x75.35549063_dqv7.jpg?version=0,"on Sep 29, 2022",Gillian,https://www.etsy.com/people/gillthegiant?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1261362967/keanu-reeves-retro-shirt-keanu-reeves?ref=shop_review,https://i.etsystatic.com/3990004572/r/il/36d88a/3990004572/il_170x135.3990004572_t9nq.jpg,"Keanu Reeves Retro Shirt, Keanu Reeves Shirt, Keanu Reeves Retro Shirt, Keanu Reeves 90's Shirt, Keanu Reeves Gift, Keanu Reeves Bootleg"
https://i.etsystatic.com/iusa/d913bd/94966055/iusa_75x75.94966055_dt1f.jpg?version=0,"on Sep 29, 2022",Alex,https://www.etsy.com/people/asnweomrci1esqjv?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318635/r/il/845fc0/3824318635/il_170x135.3824318635_r8u5.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/iusa/6361d0/78851106/iusa_75x75.78851106_dl5t.jpg?version=0,"on Sep 22, 2022",Valeria,https://www.etsy.com/people/valeriamartell?ref=shop_review,5 out of 5 stars,my mom is gonna love it!!!,https://www.etsy.com/listing/1187145730/tom-hardy-vintage-retro-shirt-tom-hardy?ref=shop_review,https://i.etsystatic.com/3754707948/r/il/335947/3754707948/il_170x135.3754707948_i7np.jpg,"Tom Hardy Vintage Retro Shirt, Tom Hardy Shirt Vintage, Tom Hardy Fan Shirt, Tom Hardy Unisex Shirt , Tom Hardy Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 21, 2022",Etsy buyer,https://www.etsy.com/people/bourland95?ref=shop_review,5 out of 5 stars,"Looks great, just what I wanted ! And showed up very fast",https://www.etsy.com/listing/1190249192/adam-sandler-retro-shirtadam-sandler?ref=shop_review,https://i.etsystatic.com/3814003285/r/il/3dc044/3814003285/il_170x135.3814003285_rugj.jpg,"Adam Sandler Retro Shirt,Adam Sandler Homage Shirt, Adam Sandler Fan Shirt, Adam Sandler Unisex Shirt, Adam Sandler Actor Comedian Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 21, 2022",Holly,https://www.etsy.com/people/odntj20f6loe34uj?ref=shop_review,5 out of 5 stars,"I got this for my dad and I’m very excited to give it to him, it looks great! Thank you!",https://www.etsy.com/listing/1214632679/adele-retro-shirt-adele-shirt-adele-easy?ref=shop_review,https://i.etsystatic.com/3805814260/r/il/509a6a/3805814260/il_170x135.3805814260_f01a.jpg,"Adele Retro Shirt, Adele Shirt, Adele Easy On Me Shirt, Adele 90's Vintage Shirt, Adele Gift for fan, Adele Tour Merch Shirt, Adele Tshirt"
